RegionName,StateName,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020
"Macon-Bibb County, GA",GA,150000,153900,150000,147990,147500,154900,162500,173000,180000,175000,175000,179500,179900,177000,174500,169900,169900,174900,179500,180000,180950,175900,169999,164500,159900,159990,160990,159900,157900,151990,157990,159900,172000
"Athens, GA",GA,269900,269500,269900,269900,279999,285000,289900,294500,290000,280000,275000,275000,275000,269900,272948,284900,290000,295900,304900,300004,299400,289900,289000,289000,285000,288500,289900,298327,310700,312010,299000,309000,309900
"Gainesville, GA",GA,329900,325000,315000,324900,329900,339900,358000,365000,375000,365000,367803,350000,349900,340000,339900,349900,349900,355900,367803,373801,359900,349900,347850,335000,336385,328284,325392,319900,322082,329900,326896,330990,339800
"Yuba City, CA",CA,300000,299900,298900,298850,320000,330000,345000,330000,335000,325000,324925,319900,309900,305000,305000,305000,319900,324990,335000,335000,337900,339000,336990,339900,339500,339900,337900,333000,355000,369990,369990,391784,385905
"Punta Gorda, FL",FL,274000,279000,279000,275000,275000,278000,274000,275000,279999,275000,270000,274600,279000,279900,279945,280000,279900,279900,279000,279900,275000,279000,279000,279900,279900,285000,295000,292900,289000,285000,277500,283790,279900
"Pueblo, CO",CO,235500,234900,239000,244900,245100,255000,260000,242500,269900,275000,260500,260000,262873,254900,254900,250000,259000,273200,276900,279900,259900,249900,254500,255000,244900,245000,250000,249900,245000,257500,255000,264900,264800
"Sherman, TX",TX,,,,,,,,,,255000,255000,255000,255000,250000,249000,249000,244900,244900,249990,259000,253000,259500,252665,252900,248000,248000,247900,245000,247900,249500,257499,258000,250000
"Dunn, NC",NC,205000,208704,210000,209900,209900,212900,216900,218708,224000,225000,226500,226500,225000,224000,224000,225000,234900,239900,242725,240000,234500,235000,239900,244900,246670,249300,249900,251900,255000,249900,253300,259900,267600
"Truckee, CA",CA,569000,560000,569000,595000,575000,579000,559000,549000,535000,523000,510000,522500,500000,499999,499000,499999,524900,549000,549900,565000,565000,555000,559000,560000,559900,550000,547000,559000,559000,560000,575000,598000,599900
"The Villages, FL",FL,279900,285750,279900,270000,267000,274900,269000,274000,268750,259900,259900,258500,259990,270000,279000,274900,269900,259900,259500,269000,270000,274900,289000,294500,299900,295000,289900,289000,290000,293500,289000,289000,292000
"Faribault, MN",MN,312900,309900,290000,290000,289500,290000,290000,294500,296332,294500,284888,279900,279900,279000,279000,289900,299900,302900,304900,290900,289900,294900,299900,288900,276500,275000,288900,292000,310000,310900,302900,301900,299900
"Albemarle, NC",NC,242400,254700,249900,245000,245000,245000,264900,275000,269900,269500,269900,269000,269000,254900,249900,247900,249900,260400,260400,260400,256300,249900,256900,249200,249200,259000,264880,264880,256500,256600,234900,256600,264900
"Kerrville, TX",TX,379000,379000,375000,368500,360000,349500,359900,375000,379000,379000,379000,375000,379900,389000,379000,389900,369450,379000,385000,379000,389500,375000,379500,385000,369900,375000,394900,395000,395000,405750,425000,420000,425000
"Shelbyville, TN",TN,207000,215000,225000,213000,209900,199900,199900,199900,215899,229000,237500,245000,249900,256400,259900,257900,239900,239000,249900,264950,269900,245000,249900,243500,249900,245000,249900,229900,239900,239900,237900,237900,242500
